Value;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
6.7;78;0;0;0;80;78;80;78;80;78;80;0;F8;0;78;78;78;F8;0;0;0
6.8;78;0;0;0;80;78;80;78;80;78;80;0;0;0;78;80;78;F8;0;0;0
6.9;78;0;0;0;80;78;80;78;80;78;80;0;78;0;78;F8;78;F8;0;0;0
7;78;0;0;0;80;78;80;78;80;78;F8;0;0;78;F8;80;F8;0;0;0;0
7.1;78;0;0;0;80;78;80;78;80;78;F8;0;78;78;0;78;0;0;0;0;0
7.2;78;0;0;0;80;78;80;78;80;78;F8;0;80;0;78;78;78;0;0;0;0
7.3;78;0;0;0;80;78;80;78;80;78;F8;0;F8;0;78;80;80;78;0;0;0
7.4;78;0;0;0;80;78;80;78;80;78;F8;0;0;0;78;F8;80;78;0;0;0
7.5;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;F8;0;0;0
7.6;78;0;0;0;80;78;80;78;80;78;F8;0;80;0;78;78;78;F8;0;0;0
7.7;78;0;0;0;80;78;80;78;80;78;F8;0;F8;0;78;80;78;F8;0;0;0
7.8;78;0;0;0;80;78;80;78;80;78;F8;0;0;0;78;F8;78;F8;0;0;0
7.9;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;0;0;0;0
8;78;0;0;0;80;78;80;78;80;78;0;0;0;78;0;78;0;0;0;0;0
8.1;78;0;0;0;80;78;80;78;80;78;0;0;78;78;78;78;0;0;0;0;0
8.2;78;0;0;0;80;78;80;78;80;78;0;0;80;0;78;80;80;78;0;0;0
8.3;78;0;0;0;80;78;80;78;80;78;0;0;F8;0;78;F8;80;78;0;0;0
8.4;78;0;0;0;80;78;80;78;80;78;0;0;0;0;78;0;78;F8;0;0;0
8.5;78;0;0;0;80;78;80;78;80;78;0;0;78;0;78;78;78;F8;0;0;0
8.6;78;0;0;0;80;78;80;78;80;78;0;0;80;0;78;80;78;F8;0;0;0
8.7;78;0;0;0;80;78;80;78;80;78;0;0;F8;0;78;F8;78;F8;0;0;0
8.8;78;0;0;0;80;78;80;78;80;78;0;0;0;0;78;0;78;0;0;0;0
8.9;78;0;0;0;80;78;80;78;80;78;0;0;78;0;78;78;78;0;0;0;0
9;78;0;0;0;80;78;80;78;80;78;78;0;0;78;78;78;0;0;0;0;0
9.1;78;0;0;0;80;78;80;78;80;78;78;0;78;78;80;80;78;0;0;0;0
9.2;78;0;0;0;80;78;80;78;80;78;78;0;80;0;78;F8;80;78;0;0;0
9.3;78;0;0;0;80;78;80;78;80;78;78;0;F8;0;78;0;78;F8;0;0;0
9.4;78;0;0;0;80;78;80;78;80;78;78;0;0;0;78;78;78;F8;0;0;0
9.5;78;0;0;0;80;78;80;78;80;78;78;0;78;0;78;80;78;F8;0;0;0
9.6;78;0;0;0;80;78;80;78;80;78;78;0;80;0;78;F8;78;F8;0;0;0
9.7;78;0;0;0;80;78;80;78;80;78;78;0;F8;0;78;0;78;0;0;0;0
9.8;78;0;0;0;80;78;80;78;80;78;78;0;0;0;78;78;78;0;0;0;0
9.9;78;0;0;0;80;78;80;78;80;78;78;0;78;0;78;80;F8;78;0;0;0
10;78;0;0;0;80;78;80;78;78;0;0;78;F8;80;0;0;0;0;0;0;0
10.1;78;0;0;0;80;78;80;78;78;0;78;78;0;F8;0;0;0;0;0;0;0
10.2;78;0;0;0;80;78;80;78;78;0;80;0;78;78;F8;0;0;0;0;0;0
10.3;78;0;0;0;80;78;80;78;78;0;F8;0;78;80;0;F8;0;0;0;0;0
10.4;78;0;0;0;80;78;80;78;78;0;0;0;78;F8;0;F8;0;0;0;0;0
10.5;78;0;0;0;80;78;80;78;78;0;78;0;78;0;0;F8;0;0;0;0;0
10.6;78;0;0;0;80;78;80;78;78;0;80;0;78;78;0;F8;0;0;0;0;0
10.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
10.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
10.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
15.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
16.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
17.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18;78;0;0;0;80;78;80;78;78;0;0;0;78;F8;0;F8;0;0;0;0;0
18.1;78;0;0;0;80;78;80;78;78;0;0;78;78;0;80;F8;0;0;0;0;0
18.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
18.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
19.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
20;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
20.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
21.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
22.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
23.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
24.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
25.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
26.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.6;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.7;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.8;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
27.9;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.1;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.2;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.3;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.4;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
28.5;78;0;0;0;80;78;80;78;80;0;;;;;;;;;0;0;0
